iter	Passed	Remaining
0	137	137376
1	138	69053
2	139	46315
3	140	34919
4	141	28097
5	142	23542
6	142	20283
7	143	17846
8	144	15960
9	145	14437
10	146	13192
11	147	12159
12	148	11281
13	149	10531
14	150	9878
15	151	9303
16	152	8798
17	152	8345
18	153	7942
19	154	7579
20	155	7258
21	156	6959
22	157	6686
23	158	6435
24	159	6207
25	160	5995
26	161	5804
27	162	5625
28	162	5455
29	163	5296
30	164	5146
31	165	5006
32	166	4876
33	167	4752
34	168	4636
35	169	4526
36	169	4421
37	170	4323
38	171	4231
39	172	4144
40	173	4060
41	174	3981
42	175	3905
43	176	3833
44	177	3763
45	178	3697
46	179	3634
47	180	3573
48	180	3512
49	181	3455
50	182	3400
51	183	3348
52	184	3297
53	185	3247
54	186	3201
55	187	3156
56	188	3112
57	189	3070
58	189	3029
59	190	2989
60	191	2951
61	192	2914
62	193	2877
63	194	2843
64	195	2809
65	196	2776
66	197	2744
67	197	2712
68	198	2682
69	199	2652
70	200	2624
71	201	2595
72	202	2568
73	203	2541
74	203	2515
75	204	2490
76	205	2468
77	206	2445
78	207	2423
79	208	2400
80	209	2378
81	210	2356
82	210	2330
83	211	2309
84	212	2289
85	213	2269
86	214	2250
87	215	2230
88	216	2212
89	217	2194
90	217	2176
91	218	2159
92	219	2141
93	220	2125
94	221	2108
95	222	2093
96	223	2077
97	224	2062
98	224	2046
99	225	2031
100	226	2016
101	227	2002
102	228	1988
103	229	1975
104	230	1961
105	230	1947
106	231	1934
107	232	1921
108	233	1908
109	234	1897
110	235	1885
111	236	1874
112	237	1862
113	238	1850
114	239	1840
115	240	1829
116	240	1816
117	241	1806
118	242	1795
119	243	1785
120	244	1776
121	245	1764
122	246	1754
123	246	1744
124	247	1734
125	248	1725
126	249	1715
127	250	1707
128	251	1698
129	252	1689
130	253	1680
131	254	1671
132	255	1662
133	255	1653
134	256	1645
135	257	1636
136	258	1628
137	259	1620
138	260	1612
139	261	1604
140	262	1596
141	262	1587
142	263	1579
143	264	1573
144	265	1565
145	266	1558
146	267	1551
147	268	1544
148	269	1536
149	269	1529
150	270	1522
151	271	1515
152	272	1509
153	273	1502
154	274	1495
155	275	1489
156	276	1482
157	277	1476
158	277	1470
159	278	1463
160	279	1456
161	280	1450
162	281	1444
163	282	1438
164	282	1432
165	283	1426
166	284	1420
167	285	1415
168	286	1409
169	287	1404
170	288	1399
171	289	1393
172	290	1388
173	291	1383
174	292	1377
175	293	1371
176	293	1367
177	294	1361
178	295	1356
179	296	1352
180	297	1347
181	298	1341
182	299	1337
183	300	1332
184	301	1327
185	302	1322
186	303	1317
187	303	1312
188	304	1308
189	305	1303
190	306	1299
191	307	1295
192	308	1291
193	309	1286
194	310	1281
195	311	1277
196	312	1273
197	313	1269
198	314	1264
199	315	1260
200	316	1256
201	317	1252
202	318	1248
203	318	1244
204	319	1240
205	320	1236
206	321	1232
207	322	1229
208	323	1225
209	324	1221
210	325	1218
211	326	1214
212	327	1210
213	328	1206
214	329	1203
215	330	1199
216	331	1195
217	332	1191
218	333	1188
219	334	1184
220	335	1180
221	335	1177
222	336	1173
223	337	1170
224	338	1166
225	339	1163
226	340	1159
